#,,,,,"generated_by='OpenQuake engine 3.23.0', start_date='2025-04-07T12:19:27', checksum=1985872743, investigation_time=50.0, mag_bin_edges=[4.75, 5.0, 5.25, 5.5, 5.75, 6.0, 6.25, 6.5, 6.75, 7.0, 7.25], dist_bin_edges=[0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0], lon_bin_edges=[12.791458131336514, 14.008341868663488], lat_bin_edges=[41.90104, 42.800360000000005], eps_bin_edges=[-3.0, 3.0], tectonic_region_types=['Active Shallow Crust'], lon=13.3999, lat=42.3507, weights=[1.0], rlz_ids=[0]"
imt,iml,poe,mag,dist,rlz0
SA(0.1),3.36772E+00,9.90000E-04,4.87500E+00,2.50000E+00,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,4.87500E+00,7.50000E+00,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,4.87500E+00,1.25000E+01,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,4.87500E+00,1.75000E+01,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,4.87500E+00,2.25000E+01,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,4.87500E+00,2.75000E+01,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,4.87500E+00,3.25000E+01,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,4.87500E+00,3.75000E+01,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,4.87500E+00,4.25000E+01,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,4.87500E+00,4.75000E+01,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,5.12500E+00,2.50000E+00,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,5.12500E+00,7.50000E+00,1.51693E-05
SA(0.1),3.36772E+00,9.90000E-04,5.12500E+00,1.25000E+01,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,5.12500E+00,1.75000E+01,0.00000E+00
SA(0.1),3.36772E+00,9.90000E-04,5.12500E+00,2.25000E+01,0.00000E+00
